dataset,subject,exit,n_trials,accuracy_pct,error_rate,ece_15,nll,brier_sum
IV-2a,8,S,288,87.15277777777779,0.1284722222222222,0.05642504102095519,0.38158964126249806,0.19554487214413518
IV-2a,8,M,288,91.66666666666666,0.08333333333333333,0.04613551649370345,0.31363736851118645,0.1473081761847744
IV-2a,8,D,288,91.66666666666666,0.08333333333333333,0.051027661169313766,0.31267632824174807,0.14689002179657298
IV-2a,8,F,288,91.31944444444444,0.08680555555555555,0.038737953739351794,0.32310280828208643,0.1488152339201323
IV-2a,8,Fusion,288,92.01388888888889,0.0798611111111111,0.040106382331830184,0.3036573840248768,0.14449204623511744
IV-2a,9,S,288,87.5,0.125,0.029701596865218775,0.3803878214457527,0.19620156506127706
IV-2a,9,M,288,89.93055555555556,0.10069444444444445,0.03954639465557661,0.3305070433822554,0.1587841559768845
IV-2a,9,D,288,91.31944444444444,0.08680555555555555,0.04430681610479847,0.3279852086417388,0.15161977518065362
IV-2a,9,F,288,90.97222222222221,0.09027777777777778,0.04222294319949308,0.3339627702440977,0.15127025140933156
IV-2a,9,Fusion,288,91.31944444444444,0.08680555555555555,0.027761309753999323,0.31594503918107525,0.14844315026740038
IV-2b,1,S,320,78.125,0.21875,0.07950093607426523,0.4996740071402419,0.30439881567739235
IV-2b,1,M,320,81.5625,0.184375,0.12225003225529653,0.5501468848708442,0.31246752529504673
IV-2b,1,D,320,80.3125,0.196875,0.1269946782165808,0.5751743280351486,0.328771534128992
IV-2b,1,F,320,81.5625,0.184375,0.12159008302801178,0.5572063871830711,0.31487264191271
IV-2b,1,Fusion,320,82.1875,0.178125,0.139229941198659,0.5425185753136382,0.31317297781446346
IV-2b,2,S,280,74.28571428571429,0.2571428571428571,0.06210816258986421,0.5631418286942005,0.3680350813843123
IV-2b,2,M,280,72.85714285714285,0.2714285714285714,0.11986060847618493,0.6029743785713239,0.39626476902530516
IV-2b,2,D,280,71.42857142857143,0.2857142857142857,0.10599806261198616,0.5913957039562553,0.39326346546760393
IV-2b,2,F,280,75.35714285714286,0.24642857142857144,0.14368436334095558,0.6349621684838926,0.40105873024940764
IV-2b,2,Fusion,280,74.28571428571429,0.2571428571428571,0.11734932863833777,0.5841350312038094,0.38334167596928875
IV-2b,3,S,320,75.9375,0.240625,0.06037610021938955,0.5351422513314755,0.3503902780552076
IV-2b,3,M,320,84.6875,0.153125,0.03653620630376049,0.3574354593021307,0.22182723346903338
IV-2b,3,D,320,84.375,0.15625,0.07990450305957465,0.34930241407594076,0.21573365496253
IV-2b,3,F,320,86.875,0.13125,0.02648815862212809,0.31192396224268715,0.19133366823500558
IV-2b,3,Fusion,320,86.5625,0.134375,0.04573736954827338,0.32191111734204025,0.1952789235751316
IV-2b,4,S,320,97.5,0.025,0.03857990657800874,0.08599025418612757,0.04134787790599716
IV-2b,4,M,320,99.0625,0.009375,0.02134139465113749,0.05752372832634828,0.02560841015397435
IV-2b,4,D,320,98.125,0.01875,0.02029812100748687,0.06153322233000062,0.028136032651376163
IV-2b,4,F,320,98.4375,0.015625,0.019270125778559744,0.05935742749026871,0.026948793905177976
IV-2b,4,Fusion,320,99.0625,0.009375,0.02285995191033953,0.058553032414864516,0.026109711609642983
IV-2b,5,S,320,96.25,0.0375,0.04756312244010266,0.11058526095892818,0.05420053348898035
IV-2b,5,M,320,99.0625,0.009375,0.02150565429928597,0.04258339645081258,0.01526744880274144
IV-2b,5,D,320,99.375,0.00625,0.02766698016517072,0.04542842509764868,0.015810152699058777
IV-2b,5,F,320,99.375,0.00625,0.023087132104472465,0.03989911152042265,0.012156067508037905
IV-2b,5,Fusion,320,99.375,0.00625,0.02582495616079178,0.0448244281471144,0.014734531102900622
