dataset,exit,bin,lower,upper,n_trials,mean_confidence,accuracy,trial_fraction
IV-2a,Fusion,14,0.9333333333333333,1.0,1972,0.9685966957694656,0.9355983772819473,0.7608024691358025
IV-2b,S,0,0.0,0.06666666666666667,0,,,0.0
IV-2b,S,1,0.06666666666666667,0.13333333333333333,0,,,0.0
IV-2b,S,2,0.13333333333333333,0.2,0,,,0.0
IV-2b,S,3,0.2,0.26666666666666666,0,,,0.0
IV-2b,S,4,0.26666666666666666,0.3333333333333333,0,,,0.0
IV-2b,S,5,0.3333333333333333,0.4,0,,,0.0
IV-2b,S,6,0.4,0.4666666666666667,0,,,0.0
IV-2b,S,7,0.4666666666666667,0.5333333333333333,77,0.5182237695014498,0.5194805194805194,0.027112676056338027
IV-2b,S,8,0.5333333333333333,0.6,166,0.5644032966022188,0.5662650602409639,0.05845070422535211
IV-2b,S,9,0.6,0.6666666666666666,201,0.6317048424696716,0.6766169154228856,0.07077464788732395
IV-2b,S,10,0.6666666666666666,0.7333333333333333,188,0.6998026262077839,0.7393617021276596,0.06619718309859154
IV-2b,S,11,0.7333333333333333,0.8,214,0.7698053085462975,0.780373831775701,0.07535211267605633
IV-2b,S,12,0.8,0.8666666666666667,306,0.8318753966047134,0.8790849673202614,0.10774647887323943
IV-2b,S,13,0.8666666666666667,0.9333333333333333,383,0.9019262350402327,0.9164490861618799,0.13485915492957745
IV-2b,S,14,0.9333333333333333,1.0,1305,0.9772832921948572,0.9770114942528736,0.4595070422535211
IV-2b,M,0,0.0,0.06666666666666667,0,,,0.0
IV-2b,M,1,0.06666666666666667,0.13333333333333333,0,,,0.0
IV-2b,M,2,0.13333333333333333,0.2,0,,,0.0
IV-2b,M,3,0.2,0.26666666666666666,0,,,0.0
IV-2b,M,4,0.26666666666666666,0.3333333333333333,0,,,0.0
IV-2b,M,5,0.3333333333333333,0.4,0,,,0.0
IV-2b,M,6,0.4,0.4666666666666667,0,,,0.0
IV-2b,M,7,0.4666666666666667,0.5333333333333333,33,0.5171786898723053,0.6060606060606061,0.011619718309859155
IV-2b,M,8,0.5333333333333333,0.6,67,0.5669585534530217,0.6268656716417911,0.023591549295774648
IV-2b,M,9,0.6,0.6666666666666666,103,0.6328076805916881,0.6699029126213593,0.03626760563380282
IV-2b,M,10,0.6666666666666666,0.7333333333333333,101,0.7028548450064163,0.7227722772277227,0.03556338028169014
IV-2b,M,11,0.7333333333333333,0.8,124,0.7665277172743106,0.717741935483871,0.04366197183098591
IV-2b,M,12,0.8,0.8666666666666667,169,0.8377752376228228,0.7751479289940828,0.059507042253521124
IV-2b,M,13,0.8666666666666667,0.9333333333333333,324,0.9036156826332442,0.8302469135802469,0.11408450704225352
IV-2b,M,14,0.9333333333333333,1.0,1919,0.9765044260818545,0.9650859822824388,0.6757042253521127
IV-2b,D,0,0.0,0.06666666666666667,0,,,0.0
IV-2b,D,1,0.06666666666666667,0.13333333333333333,0,,,0.0
IV-2b,D,2,0.13333333333333333,0.2,0,,,0.0
IV-2b,D,3,0.2,0.26666666666666666,0,,,0.0
IV-2b,D,4,0.26666666666666666,0.3333333333333333,0,,,0.0
IV-2b,D,5,0.3333333333333333,0.4,0,,,0.0
IV-2b,D,6,0.4,0.4666666666666667,0,,,0.0
IV-2b,D,7,0.4666666666666667,0.5333333333333333,40,0.5170224596385222,0.575,0.014084507042253521
IV-2b,D,8,0.5333333333333333,0.6,85,0.5681494895694105,0.6,0.02992957746478873
IV-2b,D,9,0.6,0.6666666666666666,80,0.6396175280803836,0.7625,0.028169014084507043
IV-2b,D,10,0.6666666666666666,0.7333333333333333,118,0.6995654536500628,0.6186440677966102,0.04154929577464789
IV-2b,D,11,0.7333333333333333,0.8,121,0.7683667053961533,0.7355371900826446,0.0426056338028169
IV-2b,D,12,0.8,0.8666666666666667,173,0.8379227535413323,0.7803468208092486,0.06091549295774648
IV-2b,D,13,0.8666666666666667,0.9333333333333333,328,0.9059284845366246,0.8384146341463414,0.11549295774647887
IV-2b,D,14,0.9333333333333333,1.0,1895,0.97604597696139,0.9651715039577836,0.6672535211267606
IV-2b,F,0,0.0,0.06666666666666667,0,,,0.0
IV-2b,F,1,0.06666666666666667,0.13333333333333333,0,,,0.0
IV-2b,F,2,0.13333333333333333,0.2,0,,,0.0
IV-2b,F,3,0.2,0.26666666666666666,0,,,0.0
IV-2b,F,4,0.26666666666666666,0.3333333333333333,0,,,0.0
IV-2b,F,5,0.3333333333333333,0.4,0,,,0.0
IV-2b,F,6,0.4,0.4666666666666667,0,,,0.0
IV-2b,F,7,0.4666666666666667,0.5333333333333333,31,0.5172750256133302,0.4838709677419355,0.010915492957746478
IV-2b,F,8,0.5333333333333333,0.6,78,0.5703834887483649,0.6794871794871795,0.027464788732394368
IV-2b,F,9,0.6,0.6666666666666666,65,0.6357116780332547,0.6615384615384615,0.022887323943661973
IV-2b,F,10,0.6666666666666666,0.7333333333333333,83,0.6979736271923963,0.7108433734939759,0.029225352112676056
IV-2b,F,11,0.7333333333333333,0.8,105,0.7673847218118358,0.7523809523809524,0.03697183098591549
IV-2b,F,12,0.8,0.8666666666666667,148,0.8366203276883009,0.7905405405405406,0.05211267605633803
IV-2b,F,13,0.8666666666666667,0.9333333333333333,250,0.9050522101321672,0.78,0.0880281690140845
IV-2b,F,14,0.9333333333333333,1.0,2080,0.9789722405344371,0.9586538461538462,0.7323943661971831
IV-2b,Fusion,0,0.0,0.06666666666666667,0,,,0.0
IV-2b,Fusion,1,0.06666666666666667,0.13333333333333333,0,,,0.0
IV-2b,Fusion,2,0.13333333333333333,0.2,0,,,0.0
IV-2b,Fusion,3,0.2,0.26666666666666666,0,,,0.0
IV-2b,Fusion,4,0.26666666666666666,0.3333333333333333,0,,,0.0
IV-2b,Fusion,5,0.3333333333333333,0.4,0,,,0.0
IV-2b,Fusion,6,0.4,0.4666666666666667,0,,,0.0
IV-2b,Fusion,7,0.4666666666666667,0.5333333333333333,43,0.5173283370934267,0.627906976744186,0.015140845070422536
IV-2b,Fusion,8,0.5333333333333333,0.6,77,0.5697104432892822,0.6883116883116883,0.027112676056338027
IV-2b,Fusion,9,0.6,0.6666666666666666,94,0.6350730977446173,0.7659574468085106,0.03309859154929577
IV-2b,Fusion,10,0.6666666666666666,0.7333333333333333,83,0.6990314699340011,0.6987951807228916,0.029225352112676056
IV-2b,Fusion,11,0.7333333333333333,0.8,130,0.7671453204531352,0.7307692307692307,0.045774647887323945
IV-2b,Fusion,12,0.8,0.8666666666666667,183,0.8347909200067829,0.7650273224043715,0.06443661971830986
IV-2b,Fusion,13,0.8666666666666667,0.9333333333333333,310,0.9055801585435673,0.8419354838709677,0.10915492957746478
IV-2b,Fusion,14,0.9333333333333333,1.0,1920,0.9763705933869927,0.9666666666666667,0.676056338028169
