dataset,seed,subject,exit,n_trials,accuracy_pct,kappa,ece_15,nll,brier_sum,mean_confidence
bcic2b,0,4,shallow,320,97.5,0.95,0.03857990657800874,0.08599025418612757,0.04134787790599716,0.9452609912226558
bcic2b,0,4,mid,320,99.0625,0.98125,0.02134139465113749,0.05752372832634828,0.02560841015397435,0.9704839545498342
bcic2b,0,4,deep,320,98.125,0.9625,0.02029812100748687,0.06153322233000062,0.028136032651376163,0.9715723070873026
bcic2b,0,4,final,320,98.4375,0.96875,0.019270125778559744,0.05935742749026871,0.026948793905177976,0.975686267269935
bcic2b,0,4,ensemble,320,99.0625,0.98125,0.02285995191033953,0.058553032414864516,0.026109711609642983,0.9712989105632804
bcic2b,0,5,shallow,320,96.25,0.925,0.04756312244010266,0.11058526095892818,0.05420053348898035,0.9251798724184569
bcic2b,0,5,mid,320,99.0625,0.98125,0.02150565429928597,0.04258339645081258,0.01526744880274144,0.972048165385241
bcic2b,0,5,deep,320,99.375,0.9875,0.02766698016517072,0.04542842509764868,0.015810152699058777,0.970267672124999
bcic2b,0,5,final,320,99.375,0.9875,0.023087132104472465,0.03989911152042265,0.012156067508037905,0.9739936314208675
bcic2b,0,5,ensemble,320,99.375,0.9875,0.02582495616079178,0.0448244281471144,0.014734531102900622,0.9693889495350134
bcic2b,0,6,shallow,320,85.9375,0.71875,0.07345944178004184,0.3077086241672379,0.1895761044982182,0.8399796761197343
bcic2b,0,6,mid,320,89.6875,0.79375,0.02910768115332389,0.23490357482399604,0.14308772741406645,0.9018330346675999
bcic2b,0,6,deep,320,91.25,0.825,0.03497164588595504,0.23688453374052018,0.14093905210984184,0.906939846927191
bcic2b,0,6,final,320,90.0,0.8,0.038627266131251725,0.2618670477777719,0.15799366351625727,0.9194737497323985
bcic2b,0,6,ensemble,320,90.625,0.8125,0.030061294331764674,0.23971870111785593,0.14501271238717145,0.9061467905803291
bcic2b,0,7,shallow,320,91.25,0.825,0.031525383771835225,0.23874688651681134,0.14050609638536501,0.9016808172686934
bcic2b,0,7,mid,320,93.125,0.8625,0.03682868621663063,0.2270495564301953,0.12230730547288812,0.9461243883518815
bcic2b,0,7,deep,320,93.125,0.8625,0.03907521889354816,0.2270941180135675,0.12405271804218085,0.9479110858951622
bcic2b,0,7,final,320,92.5,0.85,0.035597890932881474,0.22407392966076994,0.11859662530883508,0.9512628761979208
bcic2b,0,7,ensemble,320,93.125,0.8625,0.03090783849399853,0.21929071582909904,0.11957714237096044,0.9459819455698995
bcic2b,0,8,shallow,320,92.8125,0.85625,0.031320718877368245,0.18662357220591064,0.11297973591999763,0.9111696154800027
bcic2b,0,8,mid,320,94.375,0.8875,0.03817385320950763,0.17745967759669584,0.10078158511848997,0.9335729435944998
bcic2b,0,8,deep,320,93.75,0.875,0.033803448055765344,0.18762886737355888,0.10715845084676516,0.9329935067444819
bcic2b,0,8,final,320,94.375,0.8875,0.028029352537029706,0.16914374109715904,0.09708187566046797,0.9411516760219308
bcic2b,0,8,ensemble,320,94.6875,0.89375,0.03534604545218835,0.17389599107702422,0.09994761982280834,0.9353181575602679
bcic2b,0,9,shallow,320,89.375,0.7875,0.05882448100574564,0.2762177180623917,0.16407739114190684,0.8440477799529189
bcic2b,0,9,mid,320,90.0,0.8,0.0432983753390209,0.28782384803227823,0.17145892842845814,0.8978933444357995
bcic2b,0,9,deep,320,89.6875,0.79375,0.03954100203241112,0.29206836496846683,0.17396139980734796,0.9012288119318506
bcic2b,0,9,final,320,89.375,0.7875,0.03298380554627356,0.276378735433028,0.16521902837685515,0.9082860384229747
bcic2b,0,9,ensemble,320,90.0,0.8,0.030932690991587145,0.2758249412431314,0.1648259706502535,0.8978670037278794
